Destination,Duration(days),Travelerage,Travelergender,Travelernationality,Accommodationtype,Accommodationcost,Transportationtype,Transportationcost
"London, UK",7,35.0,Male,American,Hotel,1200,Flight,600
"Phuket, Thailand",5,28.0,Female,Canadian,Resort,800,Flight,500
"Bali, Indonesia",7,45.0,Male,Korean,Villa,1000,Flight,700
"New York, USA",14,29.0,Female,British,Hotel,2000,Flight,1000
"Tokyo, Japan",7,26.0,Female,Vietnamese,Airbnb,700,Train,200
"Paris, France",5,42.0,Male,American,Hotel,1500,Flight,800
"Sydney, Australia",10,33.0,Female,Australian,Hostel,500,Flight,1200
"Rio de Janeiro, Brazil",7,25.0,Male,Brazilian,Airbnb,900,Flight,600
"Amsterdam, Netherlands",7,31.0,Female,Dutch,Hotel,1200,Train,200
"Dubai, United Arab Emirates",7,39.0,Male,Emirati,Resort,2500,Flight,800
"Cancun, Mexico",7,27.0,Female,Mexican,Hotel,1000,Flight,500
"Barcelona, Spain",7,36.0,Male,Spanish,Airbnb,800,Train,100
"Honolulu, Hawaii",8,29.0,Female,Chinese,Resort,3000,Flight,1200
"Berlin, Germany",9,48.0,Male,German,Hotel,1400,Flight,700
"Marrakech, Morocco",7,26.0,Female,Moroccan,Riad,600,Flight,400
"Edinburgh, Scotland",7,32.0,Male,Scottish,Hotel,900,Train,150
Paris,9,30.0,Female,American,Hotel,900,Plane,400
Bali,10,28.0,Male,Chinese,Resort,1500,Plane,700
London,6,35.0,Female,British,Hotel,1200,Train,150
Tokyo,10,45.0,Male,Japanese,Hotel,1200,Plane,800
New York,5,27.0,Female,American,Airbnb,600,Bus,100
Sydney,7,32.0,Male,Australian,Hotel,1000,Plane,600
Rome,7,29.0,Female,Italian,Airbnb,700,Train,80
Bangkok,8,40.0,Male,Indian,Hostel,400,Plane,500
Paris,6,24.0,Female,Vietnamese,Hotel,1400,Train,100
Hawaii,9,34.0,Male,Korean,Resort,2000,Plane,800
Barcelona,8,31.0,Female,Spanish,Hotel,1100,Train,150
Japan,8,30.0,Female,American,Hotel,800,Plane,500
Thailand,7,45.0,Male,Canadian,Hostel,200,Train,150
France,9,25.0,Male,Korean,Airbnb,600,Car rental,300
Australia,13,28.0,Female,British,Hotel,1000,Car rental,500
Brazil,9,33.0,Female,Australian,Hostel,150,Bus,50
Greece,8,20.0,Male,American,Airbnb,400,Plane,600
Egypt,7,37.0,Female,Canadian,Hotel,700,Train,100
Mexico,10,42.0,Male,British,Airbnb,500,Plane,800
Italy,6,31.0,Female,American,Hostel,180,Train,120
